,Name,Team,Age,Pos1,Pos2,Pos3,Tackles,Interceptions,Fouls,Offsides Won,Clearances,Dribbled Past,Blocks,Goals,Assists,Shots,Key Passes,Dribbles,Fouled,Offsides,Dispossessed,Bad Controls,Passes,Pass Accuracy,Crosses,Long Balls,Through Balls
828,Francisco Portillo,Real Betis,26,CM,LM,RM,0.428571429,0.357142857,0.7,0,0.3125,1.142857143,0.5,0,0,0.333333333,1.285714286,1.285714286,0.6,0,1.5,1.222222222,0.854545455,1.098296199,1,0.565217391,2.5
829,Gideon Jung,Hamburger,21,CDM,NA,NA,0.785714286,1.214285714,1.1,0.5,0.5,0.428571429,1,0,0,0.555555556,0.285714286,0.857142857,1.2,0.5,1,0.444444444,0.739393939,1.002621232,0,0.652173913,0
830,Glenn Murray,Bournemouth,32,ST,NA,NA,0.285714286,0.142857143,0.9,0,0.3125,0.714285714,1,1.034482759,0,1.333333333,0.428571429,0.714285714,0.9,3,1,1.444444444,0.284848485,0.857142857,0.333333333,0.086956522,0
831,Gojko Kacar,Hamburger,29,CM,NA,NA,1.357142857,1.214285714,1.4,0,0.6875,1.571428571,1,0.344827586,0,0.444444444,0.142857143,0.142857143,0.7,0.5,0.5,0.666666667,0.851515152,1.005242464,0,0.347826087,2.5
832,Gregory Pujol,Ajaccio,36,ST,NA,NA,0.357142857,0.214285714,1.5,0,0.375,0.571428571,0.5,1.724137931,0,1.555555556,1,0.428571429,0.5,2.5,1.625,2,0.518181818,0.942332896,0.333333333,0.260869565,2.5
833,Guillaume Gillet,Nantes,32,RB,CM,RM,2.071428571,1.857142857,1.5,0,0.875,1.857142857,1.5,0.344827586,0,1.222222222,0.714285714,0.714285714,1.2,0,0.75,1,1.636363636,1.110091743,0.666666667,1.826086957,2.5
834,Alassane Plea,Nice,23,RW,ST,NA,0.642857143,0.142857143,1.6,0,0.1875,0.714285714,0.5,2.068965517,2,2.666666667,0.857142857,2.714285714,1.6,4,3.5,1.777777778,0.784848485,1.015727392,0.666666667,0.130434783,5
835,Alessandro Matri,Lazio,31,ST,NA,NA,0.071428571,0.071428571,0.7,0,0.1875,0,0,1.379310345,0.5,0.666666667,0.571428571,0.428571429,0.8,3.5,1.5,1.555555556,0.26969697,0.871559633,0.666666667,0.130434783,0
836,Alexander Meier,Eintracht Frankfurt,33,CAM,ST,NA,0.214285714,0.5,0.9,0,0.9375,0.428571429,0,4.137931034,0.5,2.888888889,1.285714286,0.428571429,0.5,3,0.625,1.111111111,0.796969697,0.876802097,0,0.260869565,2.5
837,Andre Ramalho,Bayer Leverkusen,24,CB,NA,NA,1,1.214285714,0.8,2,2.125,1.285714286,1.5,0,0,0.444444444,0.142857143,0.142857143,0.4,0.5,0.5,0.444444444,0.981818182,1.065530799,0,1.347826087,0
838,Anthony Weber,Reims,29,CB,NA,NA,1,2,0.5,2.5,2.8125,0.857142857,2.5,0.344827586,0,0.222222222,0.142857143,0.714285714,0.8,0,0.25,0.222222222,1.233333333,1.100917431,0,2.130434783,0
839,Brice Dja Djedje,Marseille,25,RB,CDM,RM,0.857142857,1.357142857,1,1,0.9375,0.714285714,1.5,0,0,0.444444444,0.428571429,1.285714286,1.8,1.5,1.5,0.888888889,1.357575758,1.106159895,2.333333333,0.608695652,0
840,Claudio Beauvue,Lyon,28,ST,CAM,LW,0.357142857,0.142857143,0.8,0,0.1875,0.857142857,0,1.724137931,1,3.777777778,1.142857143,0.285714286,1.1,2.5,1.625,2,0.490909091,0.965923984,0,0.130434783,2.5
841,Danilo,Valencia,20,CDM,NA,NA,1.714285714,1.071428571,1.3,0.5,0.625,0.857142857,1,0,0,0.888888889,0.571428571,1.714285714,2.3,0,2.125,1.333333333,0.76969697,0.989515072,0.333333333,0.739130435,2.5
842,David Garcia,Las Palmas,34,RB,NA,NA,1.142857143,2.5,0.7,2,1.6875,1.142857143,3,0.689655172,0.5,0.555555556,0.714285714,0.142857143,0.8,0.5,0.25,0.111111111,1.354545455,1.05242464,0.666666667,1.173913043,0
843,Domenico Maietta,Bologna,33,CB,NA,NA,1.5,2.285714286,0.9,6,2.875,1.285714286,2,0,0,0.111111111,0.142857143,0.571428571,0.4,0.5,0.5,0.333333333,1.239393939,1.111402359,0,1.913043478,0
844,Ryan Shawcross,Stoke,28,CB,NA,NA,1.571428571,1.428571429,0.9,1,2.9375,1.142857143,5,0,0,0.444444444,0.142857143,0.428571429,0.2,1,0.25,0.222222222,0.896969697,0.951507208,0,0.826086957,0
845,Sami Khedira,Juventus,29,CM,NA,NA,0.571428571,0.714285714,0.7,0,0.5,0.428571429,1.5,1.724137931,2,1.222222222,1,1,0.8,2,1.125,0.555555556,1.190909091,1.116644823,0.666666667,0.47826087,0
846,Samuel Souprayen,Verona,27,LB,NA,NA,1.142857143,1.071428571,1.4,0.5,1.5625,0.714285714,1,0,0,0.444444444,1,1,1.1,0.5,1,0.777777778,1.096969697,1.035386632,1.333333333,0.869565217,0
847,Seydou Keita,Roma,36,CM,NA,NA,1.071428571,1,1.9,0.5,0.8125,1.285714286,2,0.344827586,0,0.777777778,0.571428571,0.428571429,1.3,0.5,0.25,0.555555556,1.209090909,1.128440367,0,1,0
848,Sven Schipplock,Hamburger,27,ST,NA,NA,0.428571429,0.357142857,1.6,0,0.4375,0.714285714,0.5,0,2,0.666666667,1,0.428571429,1.2,1,0.375,1.222222222,0.387878788,0.853211009,0,0.043478261,0
849,Wahbi Khazri,Bordeaux,25,CM,LM,RM,1.5,0.5,1.4,0,0.25,1.571428571,0,1.724137931,3.5,2.222222222,3.857142857,2.571428571,2,3,3.375,2.333333333,0.890909091,1.014416776,7.666666667,0.869565217,5
850,Wanderson,Getafe,21,CM,LM,RM,0.642857143,0.428571429,0.9,0,0.125,0.714285714,0,0,0,1.333333333,0.571428571,2.142857143,0.9,0.5,1,0.888888889,0.348484848,1.043250328,0.666666667,0.043478261,0
851,Yacouba Sylla,Rennes,25,CDM,NA,NA,1.857142857,1.214285714,1.7,0,0.8125,0.857142857,0.5,0,0.5,0.555555556,0.714285714,2,1,0.5,2,1.333333333,1.318181818,1.077326343,0.666666667,1.956521739,0
852,Yoshinori Muto,Mainz,24,ST,NA,NA,0.857142857,0.5,2.3,0,0.0625,0.857142857,0,2.413793103,1,1.888888889,1,1.714285714,1.1,6,1.75,1.888888889,0.412121212,0.846657929,0.333333333,0.130434783,0
853,Adam Johnson,Sunderland,29,CM,LM,RM,0.357142857,0.357142857,0.4,0,0.25,0.714285714,0.5,0.689655172,2.5,0.888888889,2.142857143,1,0.6,0.5,1.25,1.333333333,0.896969697,1.009174312,3,1.304347826,5
854,Martin Demichelis,Man City,35,CB,NA,NA,0.714285714,1.285714286,0.6,2.5,2.375,1.571428571,1,0,0,0.333333333,0.285714286,0.428571429,0.5,0,0,0.222222222,0.836363636,1.132372215,0,0.52173913,0
855,Nahuel,Villarreal,19,LM,RM,NA,0.571428571,0.571428571,1.3,0,0.375,0.714285714,0.5,0,0.5,0.555555556,1,1.285714286,0.8,1,2,1.222222222,0.521212121,0.977719528,1,0.173913043,0
856,Mauricio Pinilla,Atalanta,32,ST,NA,NA,0.642857143,0.285714286,2.1,0.5,0.6875,0.857142857,0.5,1.724137931,1,2.333333333,1.571428571,0.428571429,1.7,4,1.25,2.222222222,0.515151515,0.896461337,0.666666667,0.304347826,0
